Codigo,Descripcion,Cupo,Watts,Industrial,Refrigerado,Pesable
30000041,AC. BELMONT 4 X 5,0.03,1,0,0,0
30000039,ACEITE BELMONT 10X250ML,0.03,1,0,0,0
30000038,AC. BELMONT 12X1,0.03,1,0,0,0
30000028,ACEITE CHEF VEGETAL 16*1,0.03,1,0,0,0
30000011,Leche Moments 30*200 cc CAPUCCINO,0.03,1,0,0,0
30000010,LS8 L. MOMENTS CAPUC 1 L CAJA,0.03,1,0,0,0
30000009,Leche Moments 30*200 cc CARAMEL,0.03,1,0,0,0
30000008,Leche Moments 30*200 cc MOCACCINO,0.03,1,0,0,0
30000007,L. UHT MOMENTS CARAM 1 L CAJA,0.03,1,0,0,0
30000006,L. UHT MOMENTS MOCAC 1 L CAJA,0.03,1,0,0,0
